section,topic,detail
1,Target_Identification,"Affected EC2 instance is identified from incident fields: affected_resource, affected_instance, service, environment, root_cause['category'], and recommended_action['action']"
1,Target_Identification,Resolution_Method,"Match exporter host IP or instance label to AWS EC2 metadata, then restrict to a single exact instance"
2,Target_Verification,"Verify incident.root_cause['category'] == 'monitoring_agent_failure'"
2,Target_Verification,"Verify incident.recommended_action['action'] matches the allowlisted action"
2,Target_Verification,"Resolve instance from incident metadata and confirm it matches the failing exporter target before dispatch"
3,Action_Mapping,"restart_node_exporter is a typed allowlisted action mapped internally to a fixed SSM AWS-RunShellScript command"
3,Action_Mapping,"The shell payload is fixed and not user-derived"
4,Command_Safety,"No generic command argument is accepted; no arbitrary shell command string is passed to SSM"
4,Command_Safety,"Only a fixed internal command is allowed: systemctl restart node_exporter + short status check"
5,SSM_Mechanism,"Use AWS Systems Manager SendCommand with AWS-RunShellScript against the resolved EC2 instance ID"
5,SSM_Mechanism,"This is a single-action, single-instance mechanism, not a generic remote command framework"
6,IAM_Permissions,"ssm:SendCommand on the specific target instance and AWS-RunShellScript document"
6,IAM_Permissions,"ssm:GetCommandInvocation for result retrieval"
6,IAM_Permissions,"Optional ec2:DescribeInstances only for instance identity resolution"
6,IAM_Permissions,"Least-privilege scoping to the exact instance or instance tags; no broad * permissions"
7,Executor_Return,"execution_id, status, target, action, timestamp, error, approver, incident_id"
7,Executor_Return,"Successful execution returns structured data; rejected execution returns status='blocked' or 'not_implemented'"
8,TimeoutBehavior,"SSM timeout set to a fixed value like 60s; executor wait timeout set to fixed window like 120s; mark timed_out if no completion"
8,TimeoutBehavior,"Do not automatically retry repeated remediation after timeout"
9,FailureBehavior,"Failure states include instance not found, identity mismatch, SSM submission failure, timeout, nonzero systemctl exit, or verification failure"
9,FailureBehavior,"Mark failed, record evidence, and escalate to human; no automatic retry loop"
10,Verification,"Check node_exporter health"
10,Verification,"Check Prometheus target UP"
10,Verification,"Check related alert cleared"
10,Verification,"Check ALB target remains healthy"
10,Verification,"Check application remains healthy"
11,VerificationFailure,"If any verification fails, mark failed_verification and escalate to human; no automatic repeated remediation"
12,AuditInfo,"incident_id, approver, approval_timestamp, approval_reason, action_id, target_instance_id, target_private_ip, SSM command ID, execution timestamps, exit code, stdout/stderr excerpts, verification results, final status"
13,SecurityRisks,"arbitrary command injection; wrong-instance execution; privilege escalation; repeated bad remediation; false-positive closure; poor audit trail; overly broad AWS access"
13,Mitigations,"fixed command payload; strict instance validation; least-privilege IAM; no retry loop; all-five-check closure gate; structured audit logs; no generic shell runner"
14,FilesToChange,"incident_intelligence/remediation.py; incident_intelligence/__main__.py; tests/test_incident_intelligence.py; optionally incident_intelligence/execution.py or incident_intelligence/adapters.py"
15,Scope,"Design-only; no files modified; no AWS or SSM execution; no apply; no resource changes; no commit"
